ANIO_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;12;411;433889385;28-Nov-22;CSW;35598759;15000
2022;12;411;433891908;28-Nov-22;CSW;35598759;9000
2022;12;411;428513617;28-Nov-22;CSW;35598759;11500
2022;12;411;197735406;28-Nov-22;CSW;35598759;64741
2022;12;411;438243890;28-Nov-22;CSW;35598759;27686
2022;12;411;438245354;28-Nov-22;CSW;35598759;27686
2022;12;411;418137698;28-Nov-22;CSW;35598759;19672
2022;12;411;418138475;28-Nov-22;CSW;35598759;19672
2022;12;411;418139252;28-Nov-22;CSW;35598759;19672
2022;12;411;961315937;28-Nov-22;CSW;35598759;27038
2022;12;411;197706576;28-Nov-22;CSW;35598759;91763
2022;12;411;196034321;28-Nov-22;CSW;35598759;19672
2022;12;411;427083156;28-Nov-22;CSW;35598759;19672
2022;12;411;107975513;28-Nov-22;CSW;35598759;19672
2022;12;411;401341379;28-Nov-22;CSW;35598759;19672
2022;12;411;330732988;28-Nov-22;CSW;35598759;19672
2022;12;411;198147116;28-Nov-22;CSW;35598759;19672
2022;12;411;420615706;28-Nov-22;CSW;35598759;27686
2022;12;411;603455719;28-Nov-22;CSW;35598759;27686
2022;12;411;419273872;28-Nov-22;CSW;35598759;27686
2022;12;411;273708869;28-Nov-22;CSW;35598759;17092
2022;12;411;352822178;28-Nov-22;CSW;35598759;27686
2022;12;411;293192130;28-Nov-22;CSW;35598759;27686
2022;12;411;194193937;28-Nov-22;CSW;35598759;27686
2022;12;411;194642500;28-Nov-22;CSW;35598759;27686
2022;12;411;194643397;28-Nov-22;CSW;35598759;17092
2022;12;411;383538638;28-Nov-22;CSW;35598759;27686
2022;12;411;383539415;28-Nov-22;CSW;35598759;27686
2022;12;411;967475562;28-Nov-22;CSW;35598759;27686
2022;12;411;422045559;28-Nov-22;CSW;35598759;27686
2022;12;411;416090988;28-Nov-22;CSW;35598759;66672
2022;12;411;421307069;28-Nov-22;CSW;35598759;27686
2022;12;411;319983351;28-Nov-22;CSW;35598759;27686
2022;12;411;436748802;28-Nov-22;CSW;35598759;27686
2022;12;411;442137605;28-Nov-22;CSW;35598759;27686
2022;12;411;436251397;28-Nov-22;CSW;35598759;27686
2022;12;411;436249774;28-Nov-22;CSW;35598759;27686
2022;12;411;272282585;28-Nov-22;CSW;35598759;126284
2022;12;411;194462824;28-Nov-22;CSW;35598759;66672
2022;12;411;676895649;28-Nov-22;CSW;35598759;27686
2022;12;411;304505163;28-Nov-22;CSW;35598759;27686
2022;12;411;195978269;28-Nov-22;CSW;35598759;27686
2022;12;411;978275634;28-Nov-22;CSW;35598759;27686
2022;12;411;978256673;28-Nov-22;CSW;35598759;27686
2022;12;411;897595579;28-Nov-22;CSW;35598759;27686
2022;12;411;191695659;28-Nov-22;CSW;35598759;27686
2022;12;411;288557235;28-Nov-22;CSW;35598759;27686
2022;12;411;288555671;28-Nov-22;CSW;35598759;27686
2022;12;411;195975818;28-Nov-22;CSW;35598759;27686
2022;12;411;418833009;28-Nov-22;CSW;35598759;17092
2022;12;411;323395425;28-Nov-22;CSW;35598759;39652
2022;12;411;278752107;28-Nov-22;CSW;35598759;27686
2022;12;411;346560688;28-Nov-22;CSW;35598759;27686
2022;12;411;397669362;28-Nov-22;CSW;35598759;27686
2022;12;411;397670108;28-Nov-22;CSW;35598759;27686
2022;12;411;315906804;28-Nov-22;CSW;35598759;27686
2022;12;411;315908468;28-Nov-22;CSW;35598759;94144
2022;12;411;417955229;28-Nov-22;CSW;35598759;27686
2022;12;411;338064952;28-Nov-22;CSW;35598759;27686
2022;12;411;194420674;28-Nov-22;CSW;35598759;27686
2022;12;411;352697762;28-Nov-22;CSW;35598759;27686
2022;12;411;101399483;28-Nov-22;CSW;35598759;27686
2022;12;411;366072790;28-Nov-22;CSW;35598759;27038
2022;12;411;304056590;28-Nov-22;CSW;35598759;27686
2022;12;411;304054026;28-Nov-22;CSW;35598759;27686
2022;12;411;298350089;28-Nov-22;CSW;35598759;27686
2022;12;411;418239019;28-Nov-22;CSW;35598759;27686
2022;12;411;123763524;28-Nov-22;CSW;35598759;27686
2022;12;411;291471198;28-Nov-22;CSW;35598759;27686
2022;12;411;196949288;28-Nov-22;CSW;35598759;27686
2022;12;411;308903473;28-Nov-22;CSW;35598759;19672
2022;12;411;289293361;28-Nov-22;CSW;35598759;66672
2022;12;411;198763518;28-Nov-22;CSW;35598759;19672
2022;12;411;196998966;28-Nov-22;CSW;35598759;19672
2022;12;411;125335021;28-Nov-22;CSW;35598759;19672
2022;12;411;356706207;28-Nov-22;CSW;35598759;19672
2022;12;411;870235977;28-Nov-22;CSW;35598759;19672
2022;12;411;870215129;28-Nov-22;CSW;35598759;19672
2022;12;411;355654592;28-Nov-22;CSW;35598759;19672
2022;12;411;842055668;28-Nov-22;CSW;35598759;19224
2022;12;411;356977921;28-Nov-22;CSW;35598759;19224
2022;12;411;356991087;28-Nov-22;CSW;35598759;19224
2022;12;411;356973803;28-Nov-22;CSW;35598759;19224
2022;12;411;356983772;28-Nov-22;CSW;35598759;19672
2022;12;411;356918374;28-Nov-22;CSW;35598759;19224
2022;12;411;356974680;28-Nov-22;CSW;35598759;19224
2022;12;411;356992864;28-Nov-22;CSW;35598759;19224
2022;12;411;315166922;28-Nov-22;CSW;35598759;66672
2022;12;411;418408149;28-Nov-22;CSW;35598759;16970
2022;12;411;197145603;28-Nov-22;CSW;35598759;27686
2022;12;411;430573666;28-Nov-22;CSW;35598759;27686
2022;12;411;278684621;28-Nov-22;CSW;35598759;27038
2022;12;411;413295750;28-Nov-22;CSW;35598759;27686
2022;12;411;312214003;28-Nov-22;CSW;35598759;42140
2022;12;411;197771974;28-Nov-22;CSW;35598759;27686
2022;12;411;104683870;28-Nov-22;CSW;35598759;27686
2022;12;411;887555136;28-Nov-22;CSW;35598759;19672
2022;12;411;109825009;28-Nov-22;CSW;35598759;66672
2022;12;411;106074804;28-Nov-22;CSW;35598759;27686
2022;12;411;198076299;28-Nov-22;CSW;35598759;19672
2022;12;411;100506556;28-Nov-22;CSW;35598759;27686
2022;12;411;100507333;28-Nov-22;CSW;35598759;27686
2022;12;411;392624396;28-Nov-22;CSW;35598759;27686
